Wall time,Step,Value
1679823012.809493,117,0.1383209079504013
1679823134.5675757,118,0.18088185787200928
1679823263.4518747,119,0.13802900910377502
1679823376.3355346,120,0.13720764219760895
1679823489.358823,121,0.14054057002067566
1679823598.3449337,122,0.13037492334842682
1679823726.3587232,123,0.14972437918186188
1679823850.5737162,124,0.14243106544017792
1679823974.4929368,125,0.14421957731246948
1679824099.7883706,126,0.16565662622451782
1679824228.5088408,127,0.1262987107038498
1679824337.517422,128,0.132364422082901
1679824450.642424,129,0.1414540708065033
1679824571.2633903,130,0.13496147096157074
1679824695.0427392,131,0.13484656810760498
1679824823.3878925,132,0.13862672448158264
1679824944.096189,133,0.12320355325937271
1679825064.0119514,134,0.14320243895053864
1679825193.2142606,135,0.1384180784225464
1679825309.5571449,136,0.1261911541223526
1679825427.4096668,137,0.1232144758105278
1679825538.722325,138,0.12816473841667175
1679825665.9048345,139,0.13747316598892212
1679825786.612499,140,0.12115705758333206
1679825904.6917408,141,0.13093751668930054
1679826028.2117763,142,0.13013991713523865
1679826159.7368803,143,0.12589514255523682
1679826294.4520497,144,0.11122985929250717
1679826413.4495575,145,0.1303369551897049
1679826529.1769626,146,0.13454391062259674
1679826651.693794,147,0.11989767104387283
1679826780.1487148,148,0.127228781580925
1679826897.2906148,149,0.11761399358510971
1679827020.2046132,150,0.13646061718463898
1679827130.5435553,151,0.10770638287067413
1679827240.40521,152,0.14234459400177002
1679827363.0630126,153,0.14351707696914673
1679827484.1882012,154,0.12191874533891678
1679827607.9498851,155,0.13879051804542542
1679827718.5670326,156,0.12172652035951614
1679827851.237863,157,0.11895589530467987
1679827977.903504,158,0.1145506203174591
1679828102.2477152,159,0.12167621403932571
1679828221.1862438,160,0.12313063442707062
1679828335.5171385,161,0.12405450642108917
1679828465.0131338,162,0.13259640336036682
1679828581.4421413,163,0.12987560033798218
1679828702.8476439,164,0.12555941939353943
1679828831.2504554,165,0.129089817404747
1679828967.067059,166,0.1365765780210495
1679829095.4359765,167,0.13188064098358154
1679829209.5290089,168,0.1270209103822708
1679829330.7059276,169,0.1149207055568695
1679829444.7658818,170,0.10323317348957062
1679829562.1070194,171,0.11293241381645203
1679829678.2645173,172,0.1151740774512291
1679829793.2130988,173,0.1214916929602623
1679829922.296427,174,0.1153954416513443
1679830048.5898879,175,0.11826545000076294
1679830164.957009,176,0.10772483050823212
1679830290.7004735,177,0.12282624840736389
1679830406.6642535,178,0.11463646590709686
1679830516.2388346,179,0.11905043572187424
1679830631.136703,180,0.09625319391489029
1679830749.80136,181,0.12604208290576935
1679830870.5199497,182,0.10297118872404099
1679830982.680123,183,0.12608450651168823
1679831110.5083146,184,0.12458991259336472
1679831231.1038451,185,0.12190734595060349
1679831352.5827866,186,0.10810112208127975
1679831484.3146727,187,0.1152389645576477
1679831604.8720143,188,0.134044349193573
1679831733.3306491,189,0.12001408636569977
1679831852.5094712,190,0.11225307732820511
1679831990.6658642,191,0.11909458786249161
1679832126.233003,192,0.12078346312046051
1679832261.115868,193,0.13224981725215912
1679832390.8935,194,0.12483876943588257
1679832514.5628383,195,0.11340654641389847
1679832630.562478,196,0.10811563581228256
1679832750.618428,197,0.11792121827602386
1679832880.8454173,198,0.10624276101589203
1679833011.3576586,199,0.12637849152088165
1679833143.6041596,200,0.11845210194587708
1679833265.9316065,201,0.11092039942741394
1679833402.2491207,202,0.11662193387746811
1679833515.0262337,203,0.10040010511875153
1679833644.0171776,204,0.1195489913225174
1679833756.836188,205,0.11843810975551605
1679833863.8189034,206,0.10563094168901443
1679833974.5799425,207,0.1141587346792221
1679834104.1247792,208,0.11130104213953018
1679834214.9126694,209,0.09353367984294891
1679834330.3132951,210,0.10630706697702408
1679834433.2045932,211,0.10137271136045456
1679834555.4738123,212,0.10485025495290756
